timestamp,normalization,optimizer,lr,epochs,batch_size,mae,rmse,r2,mape
2025-09-21 23:20:06,z_score,Adam,0.01,600,128,138.42185974121094,199.85258238886982,0.26162081956863403,0.42252248525619507
2025-09-21 23:29:31,z_score,Adam,0.01,600,128,139.8332061767578,202.1008315018768,0.24491459131240845,0.42893505096435547
2025-09-21 23:36:31,z_score,SGD,0.01,600,128,136.5607452392578,195.59865038197478,0.29271960258483887,0.42443203926086426
2025-09-21 23:38:08,z_score,SGD,0.01,200,128,137.2473602294922,197.10649088754028,0.2817729711532593,0.42346787452697754
2025-09-21 23:39:33,z_score,SGD,0.01,200,256,137.95877075195312,198.46976115708406,0.27180349826812744,0.42375147342681885
2025-09-21 23:41:31,z_score,SGD,0.01,200,64,136.59593200683594,195.49034902649288,0.2935026288032532,0.42346444725990295
2025-09-21 23:44:32,z_score,SGD,0.01,200,32,136.3527374267578,194.67656470091617,0.29937243461608887,0.4248798191547394
2025-09-21 23:55:05,z_score,SGD,0.01,200,16,136.55325317382812,197.23427535547668,0.2808413505554199,0.4140631854534149
2025-09-22 00:05:31,z_score,SGD,0.01,200,12,136.8262176513672,197.43615463295976,0.27936840057373047,0.4195358455181122
2025-09-22 00:22:41,min_max,SGD,0.01,200,16,139.1551513671875,201.57042620074503,0.24887269735336304,0.4214804470539093
